item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q100292981,Ku'damm 63,2021 television film directed by Sabine Bernardi,Una strada verso il domani - Ku'damm 63,miniserie televisiva tedesca del 2021,Films,entity
Q1003094,Private Popsicle,1982 film directed by Boaz Davidson,Reclute e seduttori,film del 1982 diretto da Boaz Davidson,Films,entity
Q1003100,Up Your Anchor,1985 film directed by Dan Wolman,Una crociera da sballo,film del 1985 diretto da Dan Wolman,Films,entity
Q100320850,Pokémon the Movie: White—Victini and Zekrom,2011 anime film directed by Kunihiko Yuyama,Il film Pokémon: Bianco - Victini e Zekrom,film di animazione del 2011 diretto da Kunihiko Yuyama,Films,entity
Q100324181,Aline,2020 film directed by Valérie Lemercier,Aline - La voce dell'amore,film del 2021 diretto da Valérie Lemercier,Films,entity
Q100332997,The Stonebreaker,2020 film directed by Gianluca De Serio and Massimiliano De Serio,Spaccapietre,film del 2020 diretto da Gianluca e Massimiliano De Serio,Films,entity
Q100349419,Home,2020 film directed by Franka Potente,Home,film del 2020 diretto da Franka Potente,Films,entity
Q100361125,Furiosa: A Mad Max Saga,2024 film directed by George Miller,Furiosa: A Mad Max Saga,film del 2024 diretto da George Miller,Films,entity
Q100361355,I Met a Girl,2020 film directed by Luke Eve,I Met a Girl - La ragazza dei tuoi sogni,film del 2020 diretto da Luke Eve,Films,entity
Q100361490,Don't Look Up,2021 film directed by Adam McKay,Don't Look up,film del 2021 diretto da Adam McKay,Films,entity
Q1003845,Frequency,2000 film by Gregory Hoblit,Frequency - Il futuro è in ascolto,film del 2000 diretto da Gregory Hoblit,Films,entity
Q100401223,Eia's Christmas at Phantom Owl Farm,2018 film by Anu Aun,Ecco il Natale a Spettrale,film del 2018 diretto da Anu Aun,Films,entity
Q1004120,Bull Arizona,1919 silent film directed by Phil Jutzi,Bull Arizona,film del 1919 diretto da Phil Jutzi,Films,entity
Q100422251,Diabolik,2021 film by Manetti Bros.,Diabolik,film del 2021 diretto dai Manetti Bros.,Films,entity
Q1004318,Fullmetal Alchemist: The Sacred Star of Milos,2011 anime film by Kazuya Murata,Fullmetal Alchemist - La sacra stella di Milos,film anime del 2011 basato sulla serie manga e anime Fullmetal Alchemist,Films,entity
Q1004385,Jack-Jack Attack,2005 film by Brad Bird,Jack-Jack Attack,cortometraggio d'animazione del 2005 diretto da Brad Bird,Films,entity
Q1004410,Bullet in the Head,1990 film directed by John Woo,Bullet in the Head,film del 1990 diretto da John Woo,Films,entity
Q1004433,Bulletproof,1996 film directed by Ernest Dickerson,Bulletproof,film del 1996 diretto da Ernest Dickerson,Films,entity
Q1004440,Kill the Irishman,2011 film directed by Jonathan Hensleigh,Bulletproof Man,film del 2011 diretto da Jonathan Hensleigh,Films,entity
Q100451663,The Lost Princess,1919 film directed by Scott R. Dunlap,The Lost Princess,film del 1919 diretto da Scott R. Dunlap,Films,entity
Q1004531,Bullets Over Broadway,1994 film by Woody Allen,Pallottole su Broadway,film del 1994 diretto da Woody Allen,Films,entity
Q1004567,Bullseye!,1990 film by Michael Winner,Bullseye!,film del 1990 diretto da Michael Winner,Films,entity
Q1004657,Bully,2001 film directed by Larry Clark,Bully,film del 2001 diretto da Larry Clark,Films,entity
Q1004710,The River King,2005 film by Nick Willing,The River King,film del 2005 diretto da Nick Willin,Films,entity
Q1004801,Bumer,2003 Crime drama film directed by Pyotr Buslov,Bumer,film del 2003 diretto da Pyotr Buslov,Films,entity
Q100489991,Deeper!,2020 film directed by Mikhail Segal,Glubže!,film del 2020 diretto da Michail Segal,Films,entity
Q1005620,Gates of Paris,1957 film by René Clair,Il quartiere dei lillà,film del 1957 diretto da René Clair,Films,entity
Q100573244,The Big Hit,2020 film by Emmanuel Courcol,Un triomphe,film del 2020 diretto da Emmanuel Courcol,Films,entity
