item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription
http://www.wikidata.org/entity/Q431,zoology,scientific study of animals,zoologia,branca della biologia che studia gli animali
http://www.wikidata.org/entity/Q219488,primatology,scientific study of primates,primatologia,branca della mammologia che studia i primati
http://www.wikidata.org/entity/Q130273498,distortion product evoked otoacoustic emissions,assessment of the integrity of outer hair cells as a result of cochlear nonlinearity by two-tone stimulation of specific frequency stimuli,emissioni otoacustiche evocate da prodotto di distorsione,valutazione dell'integrità delle cellule ciliate esterne come risultato della non linearità cocleare mediante stimolazione bitonale di stimoli a frequenze specifiche
http://www.wikidata.org/entity/Q2669293,acarology,zoology of mites and ticks,acarologia,zoologia degli acari
http://www.wikidata.org/entity/Q2993446,connectomics,study of mapping wiring diagrams,connettomica,mappatura dell'encefalo
http://www.wikidata.org/entity/Q672832,cryobiology,study of effects of extreme low temperatures on life forms,criobiologia,branca della biologia che studia gli effetti delle basse temperature sugli esseri viventi
http://www.wikidata.org/entity/Q3145111,heterophoria,vision abnormality,eteroforia,anomalia della vista
http://www.wikidata.org/entity/Q7202,molecular biology,branch of biology that deals with the molecular basis of biological activity,biologia molecolare,branca della biologia che studia il dogma centrale
http://www.wikidata.org/entity/Q7206,paleoanthropology,study of ancient humans,paleoantropologia,studio dei resti fossili dell'uomo e degli ominidi estinti
http://www.wikidata.org/entity/Q1154774,electrophysiology,study of the electrical properties of biological cells and tissues,elettrofisiologia,"branca della fisiologia che ha come studio il funzionamento dell'organismo dal punto di vista elettrico, sia in condizioni fisiologiche normali sia sotto l'influsso di un potenziale elettrico esterno."
http://www.wikidata.org/entity/Q4869597,batrachology,branch of herpetology that studies amphibians,batracologia,branca della zoologia che studia gli anfibi
http://www.wikidata.org/entity/Q3640158,reproductive biology,branch of biology studying reproduction,biologia della riproduzione,branca della biologia che studia la riproduzione
http://www.wikidata.org/entity/Q444351,dual-energy X-ray absorptiometry,diagnostic test for bone mineral density testing,Mineralometria ossea computerizzata,test diagnostico
http://www.wikidata.org/entity/Q1498375,countertransference,relational aspect of psychoanalysis,controtransfert,reazione dello psicoanalista al transfert del paziente
http://www.wikidata.org/entity/Q589284,diving reflex,physiological response to immersion of air-breathing vertebrates,riflesso di immersione,risposta fisiologica all'immersione di vertebrati terrestri
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,neurodevelopmental disorder,disturbo da deficit di attenzione e iperattività,disturbo del neurosviluppo
http://www.wikidata.org/entity/Q1735503,castration anxiety,fear of emasculation in both the literal and metaphorical sense,complesso di castrazione,concetto psicoanalitico relativo all'angoscia di castrazione
http://www.wikidata.org/entity/Q24895148,APG IV system,third revision (2016) of a classification of flowering plants by the,Classificazione APG IV,Angiosperm Phylogeny Group 2016
http://www.wikidata.org/entity/Q130301413,cochlear microphonic,electrophysiological response generated by the outer hair cells of the cochlea in response to sound,microfonismo cocleare,risposta elettrofisiologica generata dalle cellule ciliate esterne della coclea in risposta al suono
http://www.wikidata.org/entity/Q599721,egosyntonicity,psychoanalytic theory,Egosintonico,concetto psicologico
http://www.wikidata.org/entity/Q39286,entomology,scientific study of insects,entomologia,branca della zoologia che studia gli insetti
http://www.wikidata.org/entity/Q738728,penis envy,"in Freudian psychoanalysis, the female psychosexual developmental stage when young girls experience anxiety upon realizing that they lack a penis; begins the transition from attachment to the mother to competition with the mother for the father",invidia del pene,concetto psicoanalitico
http://www.wikidata.org/entity/Q28946449,transcriptomics,study of RNA transcripts,trascrittomica,la disciplina che studia l'insieme degli RNA messaggeri
http://www.wikidata.org/entity/Q318668,zooarchaeology,branch of archaeology that studies remains of animals from archaeological sites,archeozoologia,branca dell'archeologia
http://www.wikidata.org/entity/Q381392,aerobiology,"branch of biology that studies organic particles, such as bacteria, fungal spores, very small insects, pollen grains and viruses, which are passively transported by the air",aerobiologia,branca della biologia che studia le particelle sospese presenti in atmosfera
http://www.wikidata.org/entity/Q541080,lithopedion,calcified body of a dead fetus,Lithopedion,morte del feto in gravidanza extrauterina
http://www.wikidata.org/entity/Q1478954,Three Sisters,main agricultural crops of various Native American groups in North America,Tre sorelle,Tecnica di coltivazione tradizionale dell'America centro-settentrionale
http://www.wikidata.org/entity/Q193378,biomechanics,study of the structure and function of the mechanical aspects of biological systems,biomeccanica,branca della biologia che studia i meccanismi delle strutture fisiologiche degli organismi viventi
http://www.wikidata.org/entity/Q190993,malacology,study of the Mollusca,malacologia,studio dei molluschi
http://www.wikidata.org/entity/Q128406,pharmacology,branch of biology concerning drugs,farmacologia,branca della biologia che studia i farmaci
http://www.wikidata.org/entity/Q121176,nursing,caring for people who are sick or injured,assistenza infermieristica,"attività relativa all'assistenza terapeutica, riabilitativa e preventiva rivolta all'individuo sia sani o malati"
http://www.wikidata.org/entity/Q7173,marine biology,scientific study of organisms in the ocean or other marine or brackish bodies of water,biologia marina,branca della biologia che studia gli organismi viventi marini
http://www.wikidata.org/entity/Q19839330,Pierce's disease,"pathology of the grapevine, endemic in northern California, caused by the bacterium Xylella fastidiosa, vectored by the blue-green sharpshooter,",Malattia di Pierce,"patologia della vite, causata dal batterio Xylella fastidiosa e trasmessa dal vettore Homalodisca vitripennis"
http://www.wikidata.org/entity/Q396338,agroecology,study of ecological processes in agriculture,agroecologia,"applicazione dei principi ecologici alla produzione di alimenti, carburante, fibre e farmaci nonché alla gestione di agrosistemi"
http://www.wikidata.org/entity/Q7215,virology,scientific study of biological viruses,virologia,branca della microbiologia che studia i virus
http://www.wikidata.org/entity/Q1123139,ketosis,energy production using stored body fats as fuel when carbohydrates are not available,chetosi,malattia
